text,label
This lip gloss is the perfect shade of pink for me. It's so flattering and it stays on all day. I love the way it makes my lips look. I would definitely recommend this product to anyone looking for a great lip gloss.,1
This software is great! It's easy to use and it's very powerful. I would highly recommend it to anyone who is looking for a powerful software solution.,1
This software is amazing! I've been using it for a few weeks now and it's made my life so much easier. It's so easy to use and it's helped me to be more organized and productive. I would definitely recommend this product to anyone.,1
This software is a complete waste of time. I tried using it for a few weeks but it was so buggy and slow that I gave up. The customer service is also terrible. I would not recommend this software to anyone.,1
"This foundation is the best I've ever used. It gives me a flawless, natural-looking finish, and it lasts all day long. I love the coverage too, it's just enough to even out my skin tone without looking cakey. I would definitely recommend this product to anyone looking for a good foundation.",1
"Pros: good accounting program insofar as it works.

Cons: 1. will not update to send and download transactions and thus is useless as a online banking program.
  2. customer service is not competent to remedy the problem.",0
This foundation is amazing! It's so lightweight and it gives me a natural finish. I love the way this foundation looks on my skin. I would definitely recommend this product to anyone who is looking for a good foundation.,1
"This software is a complete waste of time. It's buggy, slow, and doesn't do anything that I can't do with a free app. I would not recommend this software to anyone.",1
"This lipstick is amazing! The color is so vibrant and it stays on all day. The formula is also really comfortable to wear and it doesn't dry out my lips. I would definitely recommend this lipstick to anyone looking for a long-lasting, high-quality lipstick.",1
I was so excited to see Essie nail polish on amazon.... I thought I was ordering this barely purplish more reddish wine color as seen in the product pictures but it arrived as an undesired purple. I can't return it so I wasted $9 on this color that I will never wear. I want my money back. I always rave about Essie nail polish but this was a disappointment just because the photos aren't accurate. I guess I have to buy it in store from now on to be sure of the color.,0
This software is a must-have for anyone who works in marketing. It's so easy to use and it offers a ton of features that can help you improve your marketing campaigns. I would definitely recommend it to anyone looking for a good marketing software solution.,1
"I've been using TaxCut (now H&R Block at Home) for well over 5 years, and all and all, it's OK.  One year I ran by taxes with BOTH H&R Block and Turbo Tax, and both came up with the same answer.  The issue is not with the program's math, but the way that it asks us to answer the questions, the amount of examples to help us decide what all to include in a number, or if a certain situation applies to us or not.  Again this year, 2009, I waited until the prices came down at least 10 bucks under their usual advertised price.  Generally, you should not file until after Feb 1st as the financial companies have through January to get their forms to you.  And, it's not unusual for the tax preparation companies to have online updates well into February, and if those tweaks applied to you, you'd want them before filing.

Each year, the Federal forms go pretty well, but the State of Wisconsin's forms are lacking in the H&R versions. On several occasions, H&R's program did not handle situations that applied to me, and they tell me, this form is not supported, and here's the link to get the paper form and then I have to file paper, not electronically.  This year, the WI AMT form was not supported.  Sad.  It's not that I really want to pay the AMT tax, but if I have to, at least make it easy for me to do that!  The WI AMT form is a hard one to understand, so this would have really been a good one for H&R Block to have automated.  Maybe next year.

So why do I keep using H&R Block?  They are always 5-10 bucks less, and from what I have seen or heard, the Turbo Tax version is not that much better when it comes to the State forms.  I do like the Deduction Pro add-on that H&R Block provides, so that's a plus.",0
This foundation is the best I've ever used. It's so lightweight and it gives me a flawless finish. I love the way it looks on my skin and I get so many compliments on it.,1
This eyeliner is the best! It's so precise and it stays on all day. I would definitely recommend this product to anyone who is looking for a great eyeliner.,1
"This hand cream is a close second to my favorite hand cream. It's also very luxurious and moisturizing, and it leaves my hands feeling soft and smooth. I would highly recommend it to anyone.",1
"Okay I rarely give 1-star reviews, but this is the pits. I wanted to find a peachy and/or white eyeliner highlifhter to make my eyes appear more ""awake"". At first I thought peach was the way to go, however it seems more makeup artists use a white, and when I found this, it seemed like the best of both worlds, plus it's a more natural makeup line...

It stinks. It is sooooo hard to apply, nearly impossible. What I mean by this is that I need to press hard to get the color to come off, and on my eyelid, this is near impossible and I end up just irritating my eyes. It is as though it is actually too hard packed into the stick, not smooth enough, I cant explain it other than that. I hate this.",0
