text,label
这家餐厅的东坡肉和宫保虾球非常好吃！味道醇厚，虾球酥脆。服务员态度友好，用餐环境宜人。,1
这个小餐馆呈现出纯正的法国氛围，提供了地道的法国美食。他们的蓝带法式鸡肉和香煎鹅肝令我回味无穷。餐厅内部装饰简约但又十分舒适，氛围格外亲切。工作人员友善且热情，总是准备为客人提供完美的用餐体验。我会推荐给所有爱好法国美食的人！,1
这家湖南菜馆的招牌菜辣子鸡简直是一绝！辣味浓郁，鸡肉酥嫩多汁，一口咬下去就能感受到辣椒的麻辣滋味。作为湖南菜的代表，这家餐厅绝对不容错过！,1
这家餐厅以它丰盛的欧式美食而闻名，给了我一次难忘的法国用餐体验。他们的菜单多样，提供各种经典的法国菜肴。法式奶油蘑菇汤和蜗牛配蒜蓉面包是我的最爱。用餐环境温馨浪漫，气氛非常舒适，服务员友善和善解人意。绝对是享受优雅法国美食的理想场所！,1
这家餐厅的法式鹅肝,1
这家餐厅的川菜真是叫人流连忘返！麻辣的口感和浓郁的香味真是令人难以抗拒。他们的口水鸡特别地美味，鲜嫩多汁，让人回味无穷。,1
我家伯父念叨很久的地方，事先做了点功课想好了服务应该一塌糊涂的，菜品也不要有大指望。也许期望太低，服务没有预想中的白眼，还算是叫得动，当然要多周到是别想了。环境就是很老派的饭店比较干净。停车在打电话的时候就有短信告知还算方便。说重点，菜的味道，扣三丝刀功没觉得多好，但是真的鲜，最好吃的一道菜。红烧河鳗用冰糖的，好浓郁。油爆虾味道也不错，不过壳还是要剥掉的。鸽蛋圆子很有嚼劲，内馅由传统的黄豆沙改成了薄荷桂花馅很不错。八宝辣酱等中规中矩。草头大肠不行，不入味，而且端上来很快怀疑根本不是现烧的，口味分数就扣在这道菜上了。,0
终于坐到窗边了，唯一的一个大的临窗的一桌！心情好极了！前菜送得牛角包太硬，小蛋糕咸的，还不错，小虾米摆盘挺雅的！我基本喝红酒就着小虾！感觉不错！茶水不能喝！有味！我不喝，enjoy定的餐，牛骨髓蜗牛油一些，就着炸的小糕吃着不错哟。香肠马鲛鱼一般，羊里脊太生，我不爱吃！但后来服务员补给我一次再点餐，由于饱了，所以点了蓝莓的点心，蓝莓给的真多，不怎么酸，值得一提的是，我喜欢的茶壶玫粉的没有了，但最后还是给我拿来了，下午茶也在bite，宁静得喝茶看着窗外发呆，真放松！不好的是桌与桌之间太近，吵！用餐者真是素质…这里和和瑞比，菜品不足，环境取胜！只限窗边这个！另外二楼不会开，除非一楼坐满。服务费给的乐意，除了生疏流程，态度很好！桌布有待换新！有破洞！不给办卡，没有会员制，很不舒服！,0
这里的芝士薯饼非常好吃，薯饼外脆里柔，芝士浓郁。,1
老公小时候住石坪桥一直给我说起这个牛肉面 今天在附近办事 正好来试试 车站旁边挨着天桥的 对面是电信营业厅 比较好找的小店 店也比较宽敞 操作间很大很显眼 可以看到师傅的操作 我点了特色牛肉牛筋面 原汤的红油 微辣 很鲜又香 里面了两坨牛肉加四坨牛筋 比大拇指还粗的感觉 软糯但不腻 感觉是卤过又红烧的 太美味了 豆浆一元一杯 不是那种很淡很水滴感觉 搭配面 简直爽 唯一感觉 就是店面感觉不太干净 地面 还有桌子 给人感觉 不太清洁 不过 的确也有一种老重庆滴感觉 对了 二两牛肉牛筋面才13元 好划得来,0
